id,signal,entry_time,entry_price,sl,tp1,tp2,tp3,exit_time,exit_price,tp1_hit,tp2_hit,tp3_hit,result,pnl
1,BUY,2026-02-06 16:30:00,4921.48,4901.26,4934.96,4941.70,4948.44,2026-02-06 16:55:00,4948.44,1,1,1,WIN,26.96
2,BUY,2026-02-09 03:00:00,5025.88,5006.68,5038.68,5045.08,5051.48,2026-02-09 03:05:00,5006.68,0,0,0,LOSS,-19.20
3,BUY,2026-02-09 03:15:00,5029.84,5009.10,5043.67,5050.58,5057.49,2026-02-09 03:30:00,5009.10,0,0,0,LOSS,-20.74
4,BUY,2026-02-09 07:05:00,5019.23,5007.06,5027.34,5031.40,5035.46,2026-02-09 07:40:00,5035.46,1,1,1,WIN,16.23
5,BUY,2026-02-09 07:15:00,5021.94,5010.10,5029.83,5033.78,5037.73,2026-02-09 07:40:00,5037.73,1,1,1,WIN,15.79
6,BUY,2026-02-09 07:20:00,5024.13,5012.69,5031.76,5035.57,5039.38,2026-02-09 07:40:00,5039.38,1,1,1,WIN,15.25
7,BUY,2026-02-09 07:50:00,5035.07,5023.19,5042.99,5046.95,5050.91,2026-02-09 08:20:00,5023.19,1,0,0,LOSS,-11.88
8,BUY,2026-02-09 07:55:00,5036.49,5024.93,5044.19,5048.05,5051.90,2026-02-09 08:20:00,5024.93,1,0,0,LOSS,-11.56
9,BUY,2026-02-09 08:40:00,5030.67,5018.47,5038.80,5042.87,5046.94,2026-02-09 09:05:00,5018.47,1,0,0,LOSS,-12.20
10,BUY,2026-02-09 08:45:00,5036.55,5024.22,5044.77,5048.88,5052.99,2026-02-09 09:00:00,5024.22,0,0,0,LOSS,-12.33
11,BUY,2026-02-09 08:50:00,5031.09,5019.01,5039.15,5043.17,5047.20,2026-02-09 09:05:00,5019.01,1,0,0,LOSS,-12.08
12,BUY,2026-02-09 08:55:00,5036.82,5024.60,5044.97,5049.04,5053.12,2026-02-09 09:00:00,5024.60,0,0,0,LOSS,-12.22
13,BUY,2026-02-09 10:55:00,5024.74,5013.41,5032.29,5036.07,5039.84,2026-02-09 11:00:00,5039.84,1,1,1,WIN,15.10
14,BUY,2026-02-09 11:00:00,5027.41,5016.42,5034.74,5038.40,5042.06,2026-02-09 11:35:00,5016.42,1,0,0,LOSS,-10.99
15,BUY,2026-02-09 11:05:00,5033.26,5021.45,5041.13,5045.07,5049.00,2026-02-09 11:25:00,5021.45,0,0,0,LOSS,-11.81
16,BUY,2026-02-09 11:10:00,5027.37,5015.55,5035.25,5039.19,5043.13,2026-02-09 11:35:00,5015.55,0,0,0,LOSS,-11.82
17,BUY,2026-02-09 11:20:00,5026.28,5014.92,5033.85,5037.64,5041.43,2026-02-09 11:35:00,5014.92,0,0,0,LOSS,-11.36
18,SELL,2026-02-10 03:05:00,5023.61,5040.02,5012.67,5007.20,5001.72,2026-02-10 04:05:00,5040.02,0,0,0,LOSS,-16.41
19,SELL,2026-02-10 03:25:00,5022.17,5039.00,5010.95,5005.34,4999.73,2026-02-10 04:00:00,5039.00,0,0,0,LOSS,-16.83
20,SELL,2026-02-10 03:35:00,5024.42,5040.79,5013.51,5008.05,5002.60,2026-02-10 04:05:00,5040.79,0,0,0,LOSS,-16.37
21,SELL,2026-02-10 03:40:00,5024.89,5040.95,5014.19,5008.83,5003.48,2026-02-10 04:05:00,5040.95,0,0,0,LOSS,-16.06
22,SELL,2026-02-10 07:20:00,5023.20,5032.29,5017.14,5014.11,5011.08,2026-02-10 07:40:00,5032.29,1,0,0,LOSS,-9.09
23,SELL,2026-02-10 07:35:00,5020.77,5030.65,5014.18,5010.89,5007.60,2026-02-10 07:40:00,5030.65,0,0,0,LOSS,-9.88
24,BUY,2026-02-10 11:05:00,5049.43,5039.53,5056.03,5059.33,5062.63,2026-02-10 12:15:00,5039.53,1,0,0,LOSS,-9.90
25,BUY,2026-02-10 11:20:00,5047.94,5037.25,5055.07,5058.63,5062.20,2026-02-10 12:15:00,5037.25,1,0,0,LOSS,-10.69
26,BUY,2026-02-10 11:25:00,5053.66,5042.80,5060.90,5064.52,5068.14,2026-02-10 11:55:00,5042.80,0,0,0,LOSS,-10.86
27,BUY,2026-02-10 11:45:00,5049.25,5039.42,5055.80,5059.08,5062.35,2026-02-10 12:15:00,5039.42,0,0,0,LOSS,-9.83
28,SELL,2026-02-11 18:10:00,5053.75,5071.00,5042.25,5036.50,5030.75,2026-02-11 18:30:00,5071.00,0,0,0,LOSS,-17.25
29,SELL,2026-02-11 18:10:00,5053.75,5071.00,5042.25,5036.50,5030.75,2026-02-11 18:30:00,5071.00,0,0,0,LOSS,-17.25
30,SELL,2026-02-12 03:20:00,5053.56,5066.13,5045.18,5040.99,5036.80,2026-02-12 04:00:00,5066.13,0,0,0,LOSS,-12.57
31,SELL,2026-02-12 03:30:00,5056.71,5068.94,5048.56,5044.48,5040.41,2026-02-12 04:00:00,5068.94,0,0,0,LOSS,-12.23
32,SELL,2026-02-12 03:45:00,5057.01,5068.87,5049.10,5045.15,5041.19,2026-02-12 04:00:00,5068.87,0,0,0,LOSS,-11.86
33,SELL,2026-02-12 04:40:00,5058.02,5068.16,5051.26,5047.88,5044.50,2026-02-12 05:00:00,5068.16,0,0,0,LOSS,-10.14
34,BUY,2026-02-12 07:45:00,5070.32,5062.63,5075.45,5078.01,5080.58,2026-02-12 08:05:00,5062.63,1,0,0,LOSS,-7.69
35,BUY,2026-02-12 07:55:00,5075.34,5067.53,5080.54,5083.15,5085.75,2026-02-12 08:00:00,5067.53,0,0,0,LOSS,-7.81
36,SELL,2026-02-12 08:25:00,5056.27,5065.28,5050.27,5047.26,5044.26,2026-02-12 09:10:00,5065.28,1,0,0,LOSS,-9.01
37,SELL,2026-02-12 10:45:00,5061.81,5069.32,5056.80,5054.30,5051.80,2026-02-12 10:55:00,5069.32,0,0,0,LOSS,-7.51
38,BUY,2026-02-12 11:35:00,5070.75,5063.38,5075.66,5078.12,5080.57,,,,,,OPEN,
39,BUY,2026-02-12 11:40:00,5072.68,5065.51,5077.46,5079.85,5082.25,,,,,,OPEN,
40,BUY,2026-02-12 11:45:00,5074.03,5066.99,5078.72,5081.07,5083.42,,,,,,OPEN,
41,BUY,2026-02-12 11:50:00,5079.28,5072.03,5084.11,5086.53,5088.95,,,,,,OPEN,
